('X', 'V', 'V', 'V', 'V'):ㅇㅑㄴㅏㅁ
('O', 'X', 'V', 'X', 'V'):ㅁㅜㅣㅇㅓ
('O', 'V', 'V', 'X', 'V'):ㅁㅜㅣㅇㅓ
('V', 'V', 'X', 'O', 'X'):ㅈㅗㅁㅜㅅ
('X', 'X', 'X', 'O', 'V'):ㅅㅣㄹㅁㅐ
('X', 'O', 'X', 'O', 'V'):ㅅㅣㄹㅂㅏ
('X', 'V', 'O', 'X', 'O'):ㅇㅓㅅㅜㅣ
('V', 'X', 'X', 'O', 'O'):ㅎㅗㅈㅓㅅ
('X', 'V', 'V', 'X', 'O'):ㅅㅠㄷㅣㄹ
('X', 'O', 'V', 'V', 'X'):ㅅㅏㅂㅁㅣ
('O', 'V', 'V', 'V', 'X'):ㅁㅗㄱㅇㅣ
('O', 'O', 'X', 'O', 'X'):ㅈㅣㅅㅐㄹ
('O', 'O', 'O', 'V', 'X'):ㅈㅐㅅㅏㅂ
('V', 'O', 'X', 'O', 'O'):ㅁㅔㄷㅏㄹ
('O', 'V', 'O', 'O', 'X'):ㅇㅡㅣㅌㅐ
('V', 'V', 'O', 'X', 'V'):ㅇㅡㅣㅌㅐ
('O', 'X', 'V', 'O', 'X'):ㅂㅗㅣㄷㅜ
('V', 'O', 'X', 'V', 'V'):ㄴㅐㅁㅂㅣ
('O', 'O', 'X', 'V', 'V'):ㅊㅜㄹㅁㅏ
('X', 'X', 'O', 'O', 'V'):ㅁㅐㅅㅣㄹ
('V', 'X', 'V', 'V', 'O'):ㅇㅜㅓㅅㅡ
('O', 'V', 'X', 'V', 'V'):ㅁㅗㄴㅌㅏ
('O', 'O', 'X', 'O', 'O'):ㅈㅐㅅㅏㅂ
('O', 'O', 'O', 'O', 'X'):ㅅㅣㄴㄹㅏ
('X', 'V', 'O', 'V', 'V'):ㄷㅓㅎㅏㅁ
('O', 'X', 'O', 'O', 'X'):ㅁㅣㄹㅜㅓ
('V', 'X', 'X', 'O', 'V'):ㅍㅗㄱㅂㅐ
('O', 'V', 'O', 'V', 'X'):ㅎㅏㅈㅏㅁ
('V', 'O', 'V', 'X', 'V'):ㅇㅜㅣㄱㅕ
('O', 'X', 'V', 'V', 'V'):ㅈㅜㅣㅇㅕ
('V', 'V', 'X', 'V', 'V'):ㅈㅣㄱㅏㄹ
('X', 'O', 'O', 'V', 'V'):ㄴㅡㄷㅏㅅ
('O', 'X', 'X', 'O', 'O'):ㅎㅗㅣㄹㅜ
('O', 'V', 'O', 'X', 'O'):ㅅㅜㅣㅂㅓ
('V', 'O', 'V', 'O', 'X'):ㅇㅣㄹㅅㅏ
('V', 'O', 'O', 'V', 'X'):ㅈㅐㅅㅏㅂ
('O', 'X', 'O', 'V', 'O'):ㅋㅜㅣㅈㅡ
('V', 'O', 'V', 'X', 'O'):ㅇㅜㅔㅌㅡ
('V', 'X', 'O', 'V', 'V'):ㄱㅜㅣㄱㅛ
('X', 'O', 'O', 'O', 'O'):ㅅㅣㅁㄹㅕ
('O', 'V', 'X', 'V', 'O'):ㅅㅣㄱㅊㅗ
('X', 'V', 'O', 'V', 'O'):ㅈㅐㅅㅏㅂ
('V', 'X', 'O', 'O', 'V'):ㄴㅗㅇㅗㄱ
('V', 'V', 'V', 'V', 'O'):ㅇㅗㄱㅏㄴ
('X', 'V', 'V', 'O', 'X'):ㅎㅓㅈㅜㅣ
('V', 'V', 'O', 'V', 'X'):ㅎㅏㅅㅌㅏ
('V', 'O', 'O', 'X', 'V'):ㅅㅜㅣㄱㅔ
('X', 'O', 'V', 'O', 'O'):ㅅㅜㄴㄹㅣ
('V', 'V', 'V', 'O', 'X'):ㅋㅗㅐㅁㅣ
('V', 'O', 'X', 'O', 'V'):ㅅㅣㅁㄹㅕ
('O', 'O', 'O', 'X', 'V'):ㄱㅏㅇㄴㅐ
('V', 'O', 'O', 'V', 'V'):ㄴㅏㅇㄱㅗ
('X', 'V', 'X', 'O', 'V'):ㅎㅗㅣㄷㅜ
('X', 'O', 'O', 'O', 'V'):ㄱㅏㄹㅏㅁ
('O', 'O', 'O', 'O', 'O'):ㄱㅏㅇㅗㄴ
